OrderID,OrderDate,CustomerID,ProductID,EmployeeID,Quantity,UnitPrice,TotalPrice
1,10/19/2024,1008,27,99,6,216.46,1298.76
2,10/23/2023,1350,100,50,7,216.46,1515.22
3,11/5/2024,467,15,86,7,216.46,1515.22
4,3/9/2024,414,37,5,6,216.46,1298.76
5,10/28/2023,1479,58,48,4,216.46,865.84
6,9/27/2023,586,5,13,5,216.46,1082.3
7,6/4/2025,1257,73,32,9,216.46,1948.14
8,9/19/2023,1248,7,67,1,216.46,216.46
9,3/14/2025,994,41,79,2,216.46,432.92
10,12/17/2024,1855,84,91,5,216.46,1082.3
11,1/29/2025,1436,10,91,5,216.46,1082.3
12,7/26/2023,572,62,30,7,216.46,1515.22
13,8/28/2023,335,26,6,8,216.46,1731.68
14,7/20/2024,1246,68,25,6,216.46,1298.76
15,7/30/2023,37,24,28,6,216.46,1298.76
16,2/10/2024,989,78,62,5,216.46,1082.3
17,3/6/2024,278,41,22,5,216.46,1082.3
18,8/17/2023,1220,65,68,8,216.46,1731.68
19,12/14/2023,916,17,15,5,216.46,1082.3
20,1/10/2024,1888,24,26,6,216.46,1298.76
21,11/3/2024,484,27,63,3,216.46,649.38
22,5/20/2024,1266,7,18,5,216.46,1082.3
23,8/19/2023,1348,73,73,9,216.46,1948.14
24,5/24/2025,731,99,63,3,216.46,649.38
25,4/11/2025,192,12,62,8,216.46,1731.68
26,2/12/2025,1041,85,68,7,216.46,1515.22
27,4/6/2024,524,3,48,4,216.46,865.84
28,9/19/2024,918,79,50,5,216.46,1082.3
29,8/2/2023,401,85,63,8,216.46,1731.68
30,4/25/2024,1930,10,69,7,216.46,1515.22
31,4/16/2024,886,33,6,2,216.46,432.92
32,5/8/2025,705,46,58,8,216.46,1731.68
33,4/2/2024,22,59,51,8,216.46,1731.68
34,6/1/2024,474,52,12,9,216.46,1948.14
35,9/20/2023,1144,6,95,2,216.46,432.92
36,1/24/2025,210,2,47,4,216.46,865.84
37,9/30/2023,306,29,9,2,216.46,432.92
38,5/29/2024,1294,40,7,4,216.46,865.84
39,9/21/2023,704,97,29,3,216.46,649.38
40,7/14/2023,687,61,78,7,216.46,1515.22
41,2/17/2025,285,68,51,5,216.46,1082.3
42,8/19/2024,716,68,84,7,216.46,1515.22
43,8/23/2024,1700,29,55,2,216.46,432.92
44,5/25/2025,763,62,96,4,216.46,865.84
45,11/26/2024,1251,60,59,6,216.46,1298.76
46,12/8/2024,948,84,56,5,216.46,1082.3
47,8/12/2024,381,41,22,2,216.46,432.92
48,7/14/2023,460,87,100,7,216.46,1515.22
49,12/10/2023,1031,82,18,2,216.46,432.92
50,6/4/2024,29,89,58,9,216.46,1948.14
51,9/16/2024,907,65,40,7,216.46,1515.22
52,7/29/2023,1057,64,89,3,216.46,649.38
53,6/20/2025,1670,79,31,6,216.46,1298.76
54,6/4/2024,879,63,56,5,216.46,1082.3
55,4/9/2024,79,98,35,9,216.46,1948.14
56,12/9/2024,1952,48,26,3,216.46,649.38
57,7/29/2024,947,20,68,2,216.46,432.92
58,12/13/2023,459,37,84,2,216.46,432.92
59,9/7/2024,570,64,34,4,216.46,865.84
60,6/27/2025,1562,91,76,1,216.46,216.46
61,11/23/2024,1506,86,16,9,216.46,1948.14
62,4/1/2024,1454,5,42,3,216.46,649.38
63,12/29/2023,738,34,5,5,216.46,1082.3
64,4/27/2025,1309,39,61,2,216.46,432.92
65,8/18/2024,516,67,44,8,216.46,1731.68
66,11/6/2023,1123,81,35,3,216.46,649.38
67,12/22/2023,397,62,91,5,216.46,1082.3
68,9/27/2023,1513,88,1,7,216.46,1515.22
69,5/28/2024,39,24,98,2,216.46,432.92
70,7/21/2023,1295,3,43,3,216.46,649.38
71,4/6/2024,887,71,32,8,216.46,1731.68
72,8/7/2023,797,89,63,8,216.46,1731.68
73,8/9/2023,157,67,33,3,216.46,649.38
74,12/7/2023,1099,79,95,7,216.46,1515.22
75,3/12/2025,884,93,77,2,216.46,432.92
76,1/24/2024,1824,50,66,9,216.46,1948.14
77,7/2/2024,1154,29,30,8,216.46,1731.68
78,3/18/2024,1711,74,10,9,216.46,1948.14
79,6/8/2024,974,32,23,9,216.46,1948.14
